invoeden_EURMWh,afnemen_EURMWh,imbalance_demand,imbalance_supply
64.17,64.17,21853,0
48.07,48.07,0,-2686
47.49,47.49,0,-846
47.19,47.19,0,-2777
48.07,48.07,0,-7435
48.36,48.36,17623,0
48.35,48.35,47133,0
48.92,48.92,92498,0
45.53,45.53,85846,0
33.25,33.25,107270,0
31.03,31.03,57708,0
41.03,41.03,42866,0
44.95,44.95,32324,0
44.95,44.95,17794,0
46.84,46.84,0,-22793
52.95,52.95,0,-38239
48.2,48.2,0,-13153
48.2,48.2,0,-41095
54.65,54.65,0,-26301
48.55,48.55,0,-10219
50.07,50.07,0,-40572
59.02,59.02,0,-51085
44.95,44.95,61828,0
48.22,48.22,52959,0
48.23,48.23,45491,0
50.18,50.18,0,-30459
48.07,48.07,16325,0
218.24,218.24,0,-74855
73.7,73.7,0,-49941
56.24,56.24,0,-2044
245.97,245.97,0,-110574
63.7,63.7,0,-36074
49.2,49.2,0,-2383
51.38,51.38,36111,0
52.95,52.95,0,-30033
52.95,52.95,0,-20758
51.25,51.25,11102,0
40.37,40.37,32558,0
48.57,48.57,23091,0
46.16,46.16,52388,0
40.95,40.95,75115,0
4.9,4.9,85562,0
41.03,41.03,16879,0
49.25,49.25,19290,0
47.97,47.97,61856,0
13.6,13.6,106245,0
-3.68,73.77,0,-37100
44.95,44.95,0,-3808
32.85,32.85,39876,0
33.37,33.37,70672,0
48.07,48.07,0,-61884
44.71,44.71,0,-31282
39.22,39.22,19548,0
23.74,23.74,56156,0
-6.26,110.12,2110,0
44.93,148.12,19913,0
36.95,36.95,37053,0
47.86,47.86,7015,0
47.49,65.12,0,-30094
52.95,52.95,0,-23425
47.51,47.51,841,0
47.52,47.52,6689,0
126.64,126.64,0,-75101
56.95,56.95,0,-9674
45.67,45.67,6978,0
47.53,47.53,3177,0
56.95,56.95,0,-27366
51.15,51.15,2599,0
46.13,46.13,21187,0
40.95,40.95,42757,0
47.19,47.19,11073,0
47.3,47.3,14099,0
45.05,45.05,13945,0
44.95,44.95,18852,0
-129.6,-129.6,91910,0
26.93,26.93,65754,0
36.95,36.95,48571,0
-42.55,-42.55,65407,0
39.78,39.78,48818,0
34.85,34.85,71103,0
45.17,48.66,10121,0
53.0,53.0,0,-32438
-81.35,-81.35,137610,0
-16.54,-16.54,74530,0
34.37,34.37,69919,0
157.12,157.12,0,-2418
-52.86,175.06,155373,0
38.8,38.8,76899,0
56.57,56.57,24863,0
53.14,53.14,26641,0
45.48,45.48,48007,0
64.38,64.38,13419,0
48.66,48.66,0,-9315
48.63,48.63,0,-11691
124.12,124.12,0,-54212
55.38,55.38,0,-38947
62.79,62.79,0,-62239
57.21,57.21,0,-58141
62.61,62.61,0,-61310
82.61,82.61,0,-65944
58.7,58.7,0,-29578
62.61,62.61,0,-41855
105.01,105.01,0,-65552
48.29,114.89,0,-20383
45.49,72.14,0,-37528
56.56,56.56,0,-39714
122.14,122.14,0,-63624
76.12,76.12,0,-65036
119.28,119.28,0,-66554
207.23,207.23,0,-87923
103.12,103.12,0,-73625
269.73,269.73,0,-50746
42.2,269.73,0,-1584
47.91,47.91,0,-12429
121.31,121.31,0,-58422
64.12,64.12,0,-48276
57.14,57.14,0,-37417
59.57,59.57,0,-43038
48.66,48.66,0,-4992
51.97,51.97,0,-20513
117.12,117.12,0,-54986
224.62,224.62,0,-59829
30.3,30.3,52843,0
45.49,45.49,22383,0
44.96,44.96,23376,0
6.55,6.55,66544,0
33.05,33.05,18211,0
34.64,34.64,53038,0
26.48,26.48,63325,0
24.31,24.31,58581,0
16.52,105.74,0,-12649
-42.46,-42.46,60827,0
29.79,29.79,64721,0
40.03,40.03,56556,0
